コントロールカラム,商品公開設定,商品公開設定開始日,商品公開設定終了日,商品管理番号,商品名,簡易商品説明
u,公開する,,,0000-00000,【テンプレート】商品詳細,"上品な仕上がりで和モダンの空間演出に一役買うデザイン。
落ち着いた色調とグラフィカルな柄が、洗練された和の世界を演出します。
天然素材ならではの風合いと高級感をお楽しみいただける洗面ボウルです。"
u,公開する,,,b006-00695168,洗面ボウル ホワイト-06 B006,"<section class=""item_setsumei-box"">
    どんなテイストにも合わせやすく、あらゆる場所やシーンと相性抜群です。<br>
    フォルムに個性のあるものを選ぶと、シンプルながら空間にアクセントが生まれます。
</section>

<!-- 商品情報 -->
<div id=""accordion"" class=""accordion-container"">
    <h3 class=""accordion-single-title open"">商品情報</h3>
    <section class=""acc"">
        <ul>
            <li>型式:B006<br></li>
            <li>サイズ(mm):幅420×奥行420×高さ120</li>
            <li>重量:7.5kg</li>
            <li>素材:陶磁器</li>
            <li>オーバーフロー:なし</li>
            <li>水栓取付穴:なし</li>
            <li>設置方法:置き型</li>
        </ul>
    </section>

    <!-- 図面DL
    <h3 class=""accordion-single-title"">図面ダウンロード</h3>
    <div class=""accordion-content-box itemDetailMain"">
        <ul>
            <li>
                <a href=""<#サイトURL>img/zumen/pdf/B006_pdf.pdf"" download>
                    <img src="" <#サイトURL>img/common/ican_pdf.png"">
                </a>
            </li>
            <li>
                <a href=""<#サイトURL>img/zumen/dwg/B006_dwg.zip"" download>
                    <img src="" <#サイトURL>img/common/ican_dwg.png"">
                </a>
            </li>
            <li>
                <a href=""<#サイトURL>img/zumen/dxf/B006_dxf.zip"" download>
                    <img src="" <#サイトURL>img/common/ican_dxf.png"">
                </a>
            </li>
        </ul>
    </div> -->

    <!-- 納期目安 アコーディオン-->
    <h3 class=""accordion-single-title"">納期目安</h3>
    <div class=""accordion-content-box"">
        <section>
            <ul>
                <li>1週間程度</li>
            </ul>
        </section>
    </div>

    <!--購入前確認 -->

    <h3 class=""accordion-single-title"">ご購入前にご確認ください。</h3>
    <div class=""accordion-content-box"">
        <section>
            <ul>
                <li>mizunohanaの洗面ボウルはの排水穴は海外規格の45mmとなっております。</li>
                <li>mizunohanaの排水金具・排水トラップをご利用を推奨しております。</li>
                <li>排水穴に合わない排水金具を使用すると、漏水などが起こる恐れがあります。</li>
                <li>設置のご依頼につきましては、お近くの工務店様等にご相談ください。</li>
            </ul>
        </section>
    </div>


    <!-- 設置方法について アコーディオン-->
    <h3 class=""accordion-single-title"">洗面ボウルの設置方法について</h3>
    <div class=""accordion-content-box"">
        <section>
            <ul>
                <li>天板に45mm程度の穴を開けていただき、天板を挟んでナットを締め、固定してください。</li>
                <li>天板とボウルの固定には接着面にシリコン等接着剤で固定してください。</li>
                <li>※天板の厚みは20?50cm程度まで対応しております。それ以上の厚みがある天板に取り付ける場合は、お問い合わせください。</li>
            </ul>
        </section>
    </div>

    <!--ご使用に関するご注意とお願い　アコーディオン-->
    <h3 class=""accordion-single-title"">ご使用に関するご注意とお願い</h3>
    <div class=""accordion-content-box"">
        <section>
            <ul>
                <li>割れ、欠け等の破損が発生しやすいので、運搬や施工時は取り扱いにご注意位ください。</li>
                <li>洗面ボウルを設置する際は、必ず天板との間にコーキング用のシール処理を施してください。</li>
                <li>専用の排水金具をご使用ください。排水穴に合わない排水金具を使用すると、漏水などが起こる恐れがあります。</li>
                <li>使用しない時は排水金具の排水栓をは開けておいてください。誤って水栓から吐水した場合、水が溢れ家財に損害を与える恐れがあります。</li>
                <li>排水金具取付け後は水を流し、必ず漏れが無いか確認してください。</li>
                <li>排水金具のボウル内及びナット部分にシリコーン系コーキング剤で防水処理を施してください。<br>
                    <small>※排水金具の下部パッキンの内径当り面は構造上ナット接合部の為ねじ形状となる為、コーキング処理が無いと排水時に水が漏れる可能性があります。</small>
                </li>
            </ul>
        </section>
    </div>
</div>
"
u,公開する,,,lm001-00872324,LEDミラー LM001,"<section class=""item_setsumei-box"">
    華やかで明るい空間を演出するこだわりのミラー。<br>
    省電力なLEDミラーがあなたの顔を明るく照らします。
</section>

<!-- 商品情報 -->
<div id=""accordion"" class=""accordion-container"">
    <h3 class=""accordion-single-title open"">商品情報</h3>
    <section class=""acc"">
        <ul>
            <li>型式:LM001</li>
            <li>サイズ(mm):幅1000×高さ600</li>
            <li>重量:10kg</li>
            <li>使用環境:屋内に限る</li>
            <li>防水機能:なし</li>
            <li>使用環境温度:ー10℃?45℃</li>
            <li>定格電源電圧:AC100V</li>
            <li>使用周波数:50Hz/60Hz</li>
            <li>定格消費電力:27.4W</li>
            <li>明るさ(LED ライト部):1710lm(ルーメン)</li>
        </ul>
    </section>

    <!--図面DL-->
    <h3 class=""accordion-single-title"">図面ダウンロード</h3>
    <div class=""accordion-content-box itemDetailMain"">
        <ul>
            <li> <a href=""<#サイトURL>img/zumen/pdf/LM001_pdf.pdf"" download> <img src="" <#サイトURL>img/common/ican_pdf.png""></a> </li>
            <!-- 
                <li> <a href=""<#サイトURL>img/zumen/dwg/LM001_dwg.zip"" download> <img src="" <#サイトURL>img/common/ican_dwg.png""></a></li>
                 <li> <a href=""<#サイトURL>img/zumen/dxf/LM001_dxf.zip"" download> <img src="" <#サイトURL>img/common/ican_dxf.png""></a> </li> 
            -->
        </ul>

    </div>

    <!-- 納期目安 アコーディオン-->
    <h3 class=""accordion-single-title"">納期目安</h3>
    <div class=""accordion-content-box"">
        <section>
            <ul>
                <li>1週間程度</li>
            </ul>
        </section>
    </div>

    <!--購入前確認 -->
    <h3 class=""accordion-single-title"">ご購入前にご確認ください。</h3>
    <div class=""accordion-content-box"">
        <section>
            <ul>
                <li>設置のご依頼につきましては、お近くの工務店様等にご相談ください。</li>
            </ul>
        </section>
    </div>

    <!--ご使用に関するご注意とお願い　アコーディオン-->
    <h3 class=""accordion-single-title"">ご使用に関するご注意とお願い</h3>
    <div class=""accordion-content-box"">
        <section>
            <ul>
            <li>LEDミラーは浴室内のような高温多湿の環境ではご使用頂けません。 </li>
            <li>LEDミラーの設置は電気工事が伴う場合がございます。専門業者にご依頼下さい。</li>
            <li>当商品は屋内専用品です。屋外でのご使用はお控え下さい。</li>
            <li>排片開きミラーの扉の開閉方向は変更できません。開閉方向にご注意下さい。設置位置によって開閉が制限される場合があります。</li>
            <li>写真はイメージです。実際の商品とは異なる場合がございます</li>
            </ul>
        </section>
    </div>
</div>
"
u,公開する,,,b187-00873215,丸型手洗いボウル shiro B187,"<section class=""item_setsumei-box"">
  どんなテイストにも合わせやすく、あらゆる場所やシーンと相性抜群です。<br>
  フォルムに個性のあるものを選ぶと、シンプルながら空間にアクセントが生まれます。
  </section>
  
    <!-- 商品情報 -->
    <div id=""accordion"" class=""accordion-container"">
      <h3 class=""accordion-single-title open"">商品情報</h3>
      <section class=""acc"">
        <ul>
          <li>型式:B187</li>
          <li>サイズ(mm):幅240×奥行240×高さ125</li>
          <li>重量:2kg</li>
          <li>素材:陶磁器</li>
          <li>オーバーフロー:なし</li>
          <li>水栓取付穴:なし</li>
          <li>設置方法:置き型</li>
        </ul>
      </section>
  
      <!--図面DL-->
      <h3 class=""accordion-single-title"">図面ダウンロード</h3>
      <div class=""accordion-content-box itemDetailMain"">
          <ul>
              <li> <a href=""<#サイトURL>img/zumen/pdf/B010_pdf.pdf"" download> <img src="" <#サイトURL>img/common/ican_pdf.png""></a> </li>
              <li> <a href=""<#サイトURL>img/zumen/dwg/B010_dwg.zip"" download> <img src="" <#サイトURL>img/common/ican_dwg.png""></a> </li>
              <li> <a href=""<#サイトURL>img/zumen/dxf/B010_dxf.zip"" download> <img src="" <#サイトURL>img/common/ican_dxf.png""></a> </li>
              </ul>
      </div>
  
      <!-- 納期目安 アコーディオン-->
      <h3 class=""accordion-single-title"">納期目安</h3>
      <div class=""accordion-content-box"">
        <section>
          <ul>
            <li>1週間程度</li>
          </ul>
        </section>
      </div>
  
          <!--購入前確認 -->
  
          <h3 class=""accordion-single-title"">ご購入前にご確認ください。</h3>
          <div class=""accordion-content-box"">
          <section>
            <ul>
              <li>mizunohanaの洗面ボウルはの排水穴は海外規格の45mmとなっております。</li>
              <li>mizunohanaの排水金具・排水トラップをご利用を推奨しております。</li>
              <li>排水穴に合わない排水金具を使用すると、漏水などが起こる恐れがあります。</li>
              <li>設置のご依頼につきましては、お近くの工務店様等にご相談ください。</li>
            </ul>
          </section>
          </div>
      
  
      <!-- 設置方法について アコーディオン-->
      <h3 class=""accordion-single-title"">洗面ボウルの設置方法について</h3>
      <div class=""accordion-content-box"">
        <section>
          <ul>
            <li>天板に45mm程度の穴を開けていただき、天板を挟んでナットを締め、固定してください。</li>
            <li>天板とボウルの固定には接着面にシリコン等接着剤で固定してください。</li>
            <li>※天板の厚みは20?50cm程度まで対応しております。それ以上の厚みがある天板に取り付ける場合は、お問い合わせください。</li>
          </ul>
        </section>
      </div>
  
      <!--ご使用に関するご注意とお願い　アコーディオン-->
      <h3 class=""accordion-single-title"">ご使用に関するご注意とお願い</h3>
      <div class=""accordion-content-box"">
        <section>
          <ul>
            <li>割れ、欠け等の破損が発生しやすいので、運搬や施工時は取り扱いにご注意位ください。</li>
            <li>洗面ボウルを設置する際は、必ず天板との間にコーキング用のシール処理を施してください。</li>
            <li>専用の排水金具をご使用ください。排水穴に合わない排水金具を使用すると、漏水などが起こる恐れがあります。</li>
            <li>使用しない時は排水金具の排水栓をは開けておいてください。誤って水栓から吐水した場合、水が溢れ家財に損害を与える恐れがあります。</li>
            <li>排水金具取付け後は水を流し、必ず漏れが無いか確認してください。</li>
            <li>排水金具のボウル内及びナット部分にシリコーン系コーキング剤で防水処理を施してください。<br>
              <small>※排水金具の下部パッキンの内径当り面は構造上ナット接合部の為ねじ形状となる為、コーキング処理が無いと排水時に水が漏れる可能性があります。</small>
            </li>
          </ul>
        </section>
      </div>
    </div>
"
u,公開する,,,f001-00697293,湯水混合栓 F001,"<section class=""item_setsumei-box"">
    毎日触れるものだからこそこだわりを。<br>
    多様な洗面ボウルに合わせ、豊富なラインナップをご用意しました。<br>
    スタンダードなタイプから、個性的なデザインのものまで、お好みに合わせてお選びいただけます。
</section>

<!-- 商品情報 -->
<div id=""accordion"" class=""accordion-container"">
    <h3 class=""accordion-single-title open"">商品情報</h3>
    <section class=""acc"">
        <ul>
            <li>型式:F001</li>
            <li>重量:1.8kg</li>
            <li>材質:本体・鉛レス黄銅</li>
        </ul>
    </section>

    <!--図面DL-->
    <h3 class=""accordion-single-title"">図面ダウンロード</h3>
    <div class=""accordion-content-box itemDetailMain"">
        <ul>
            <li> <a href=""<#サイトURL>img/zumen/pdf/F001_pdf.pdf"" download> <img src="" <#サイトURL>img/common/ican_pdf.png""></a> </li>
            <li> <a href=""<#サイトURL>img/zumen/dwg/F001_dwg.zip"" download> <img src="" <#サイトURL>img/common/ican_dwg.png""></a> </li>
            <li> <a href=""<#サイトURL>img/zumen/dxf/F001_dxf.zip"" download> <img src="" <#サイトURL>img/common/ican_dxf.png""></a> </li>
        </ul>
    </div>

    <!-- 納期目安 アコーディオン-->
    <h3 class=""accordion-single-title"">納期目安</h3>
    <div class=""accordion-content-box"">
        <section>
            <ul>
                <li>1週間程度</li>
            </ul>
        </section>
    </div>

    <!--購入前確認 -->

    <h3 class=""accordion-single-title"">ご購入前にご確認ください。</h3>
    <div class=""accordion-content-box"">
        <section>
            <ul>
                <li>使用圧力0.75MPa以下、給湯温度80℃以下の条件でご使用ください。</li>
                <li>設置のご依頼につきましては、お近くの工務店様等にご相談ください。</li>
            </ul>
        </section>
    </div>


    <!--ご使用に関するご注意とお願い　アコーディオン-->
    <h3 class=""accordion-single-title"">ご使用に関するご注意とお願い</h3>
    <div class=""accordion-content-box"">
        <section>
            <ul>
                <li>水栓金具を設置する際は、施工やメンテナンスのために止水栓もあわせて設置してください。また、水栓からの吐水量が多く、水の飛び跳ねが起こる場合は、止水栓で水量調節を行ってください。</li>
                <li>水栓本体の左側は、給湯側のため高温になることがあります。直接肌に触れないようにしてください。火傷をする恐れがあります。</li>
                <li>水栓本体や吐水口先端に強い力や衝撃を加えないでください。破損する恐れがあります。</li>
                <li>レバーハンドルの開閉はゆっくりと行ってください。急閉止すると水撃により騒音が発生したり配管が破損する恐れがあります。</li>
                <li>お手入れの際は、柔らかい布で乾拭きするか、水またはぬるま湯に浸してよく絞り汚れを拭き取ってください。特に汚れがひどい場合は、薄めた中性洗剤に浸した柔らかい布で汚れを落とした後、乾いた布で拭き取ってください。研磨剤入りの洗剤、中性以外の洗剤、溶剤、ブラシ等を用いて清掃すると製品を傷める恐れがあります。
                </li>
                <li>安全のために、水栓まわりやキャビネット内等に漏水やガタツキがないか定期的に点検してください。
                </li>
                <li>水栓の水の落ちる位置は洗面ボウルの中央縁までの距離の半分程度までに設定していただくと手洗いしやすい位置となります。</li>
                <li>混合栓に水のみ接続する場合、一時側配管をチーズ等で分岐して湯側、水側両方の配管を接続してください。水側のみ接続し、湯側をプラグ等で止めた場合、湯側ホース内に水が溜まる恐れがあります。</li>
            </ul>
        </section>
    </div>
</div>"
u,公開する,,,t001-00697298,排水トラップ P型 T001,"<section class=""item_setsumei-box"">
    配管にもデザイン性を。<br>
    洗面ボウルから床につなげるタイプと壁につなげるタイプの2種類をご用意しています。<br>

    お部屋のタイプやキャビネットのタイプに合わせて自由にお選びいただけます。
</section>

<!-- 商品情報 -->
<div id=""accordion"" class=""accordion-container"">
    <h3 class=""accordion-single-title open"">商品情報</h3>
    <section class=""acc"">
        <ul>
            <li>型式:T001</li>
            <li>材質:パイプ SUS</li>
            <li>材質：ナット 黄銅</li>
            <li>材質:パッキン NBR</li>
            <li>ネジ径:G1'1/4</li>
            <li>配管:壁</li>
        </ul>
    </section>

    <!--図面DL-->
    <h3 class=""accordion-single-title"">図面ダウンロード</h3>
    <div class=""accordion-content-box itemDetailMain"">
        <ul>
            <li> <a href=""<#サイトURL>img/zumen/pdf/T001_pdf.pdf"" download> <img src="" <#サイトURL>img/common/ican_pdf.png""></a>  </li>
            <li> <a href=""<#サイトURL>img/zumen/dwg/T001_dwg.zip"" download> <img src="" <#サイトURL>img/common/ican_dwg.png""></a>  </li>
            <li> <a href=""<#サイトURL>img/zumen/dxf/T001_dxf.zip"" download> <img src="" <#サイトURL>img/common/ican_dxf.png""></a> </li>
        </ul>
    </div>

    <!-- 納期目安 アコーディオン-->
    <h3 class=""accordion-single-title"">納期目安</h3>
    <div class=""accordion-content-box"">
        <section>
            <ul>
                <li>1週間程度</li>
            </ul>
        </section>
    </div>

    <!--購入前確認 -->

    <h3 class=""accordion-single-title"">ご購入前にご確認ください。</h3>
    <div class=""accordion-content-box"">
        <section>
            <ul>
                <li>mizunohanaの排水トラップのパイプ径は32mm規格となっております。</li>
                <li>mizunohanaの排水トラップのねじはG1""1/4となっております。組み合わせる排水金具のねじをご確認ください。</li>
                <li>設置のご依頼につきましては、お近くの工務店様等にご相談ください。</li>
            </ul>
        </section>
    </div>

    <!--ご使用に関するご注意とお願い　アコーディオン-->
    <h3 class=""accordion-single-title"">ご使用に関するご注意とお願い</h3>
    <div class=""accordion-content-box"">
        <section>
            <ul>
                <li>ねじを締めすぎた場合、破損する可能性があります。締めすぎにはご注意ください。</li>
                <li>mizunohanaの排水トラップのパイプ径は32mm規格となっております。</li>
                <li>L型などのボトルトラップ型の排水トラップは、底面の蓋を外すことで清掃等のメンテナンスができます。</li>
                <li>メンテナンスのためにボトルトラップ型の排水トラップに底面の蓋を取り外した後は、必ず漏れが無いか確認してください。</li>
                <li>お手入れの際は、水拭きもしくは中性洗剤を薄めてご使用ください。中性以外の洗剤は製品を傷め、破損させる恐れがあります。酸性や塩素系の洗剤、ベンジン、油などは表面を傷める恐れがありますので使用しないでください。
                </li>
                <li>排水トラップのネジはG1""1/4となっております。組み合わせる排水金具のねじをご確認ください。</li>
                <li>排水トラップの管が長い時は市販のステンレス管用パイプカッターを使用して適切な長さにカットして使用してください。</li>
                <li>管をカットする際は排水用のVU管への差し込み深さが30mm以上確保できるようカットしてください。</li>
            </ul>
        </section>
    </div>
</div>

"
u,公開する,,,r005-00889757,サイドキャビネット R005,"<section class=""item_setsumei-box"">
    毎日使う洗面空間。<br>
    タオル置きや小物置きもよりオシャレに演出いたします。
</section>

<!-- 商品情報 -->
<div id=""accordion"" class=""accordion-container"">
    <h3 class=""accordion-single-title open"">商品情報</h3>
    <section class=""acc"">
        <ul>
            <li>型式:R005<br></li>
            <li>サイズ(mm):幅300×高さ800×奥行250</li>
            <li>主材料:木製</li>
        </ul>
    </section>

    <!-- 図面DL
    <h3 class=""accordion-single-title"">図面ダウンロード</h3>
    <div class=""accordion-content-box itemDetailMain"">
        <ul>
            <li> <a href=""<#サイトURL>img/zumen/pdf/R005_pdf.pdf"" download>　<img src="" <#サイトURL>img/common/ican_pdf.png""></a> </li>
            <li> <a href=""<#サイトURL>img/zumen/dwg/R005_dwg.zip"" download>　<img src="" <#サイトURL>img/common/ican_dwg.png""></a> </li>
            <li> <a href=""<#サイトURL>img/zumen/dxf/R005_dxf.zip"" download>　<img src="" <#サイトURL>img/common/ican_dxf.png""></a> </li> 
        </ul>
    </div> -->

    <!-- 納期目安 アコーディオン-->
    <h3 class=""accordion-single-title"">納期目安</h3>
    <div class=""accordion-content-box"">
        <section>
            <ul>
                <li>3?4ヶ月</li>
            </ul>
        </section>
        こちらの商品は受注生産品となり、ご注文を頂いてから海外工場にて製造致します。<br>
        その為、商品のお届けまでにお時間を頂いております。<br>
        商品の正式な納期につきましては都度ご回答させて頂きます。<br>
        また、ご注文頂いてから製造する商品の為、ご注文後のキャンセルはお受けできません。<br>
        予めご了承下さい。
    </div>

    <!--購入前確認 -->

    <h3 class=""accordion-single-title"">ご購入前にご確認ください。</h3>
    <div class=""accordion-content-box"">
        <section>
            <ul>
                <li>キャビネットは製造工程において若干の収縮や反りが生じます。</li>
                <li>洗面ボウルは製造工程で寸法誤差が生じるため、天板の穴あけ作業の際は、現物にて取合いの詳細をご確認ください。</li>
                <li>排設置のご依頼につきましては、お近くの工務店様等にご相談ください。</li>
            </ul>
        </section>
    </div>

    <!-- 設置方法について アコーディオン
        <h3 class=""accordion-single-title"">洗面ボウルの設置方法について</h3>
        <div class=""accordion-content-box"">
          <section>
            <ul>
              <li>天板に45mm程度の穴を開けていただき、天板を挟んでナットを締め、固定してください。</li>
              <li>天板とボウルの固定には接着面にシリコン等接着剤で固定してください。</li>
              <li>※天板の厚みは20?50cm程度まで対応しております。それ以上の厚みがある天板に取り付ける場合は、お問い合わせください。</li>
            </ul>
          </section>
        </div>  -->

        <!-- ご使用に関するご注意とお願い アコーディオン
        <h3 class=""accordion-single-title"">ご使用に関するご注意とお願い</h3>
        <div class=""accordion-content-box"">
          <section>
            <ul>
              <li>割れ、欠け等の破損が発生しやすいので、運搬や施工時は取り扱いにご注意位ください。</li>
              <li>洗面ボウルを設置する際は、必ず天板との間にコーキング用のシール処理を施してください。</li>
              <li>専用の排水金具をご使用ください。排水穴に合わない排水金具を使用すると、漏水などが起こる恐れがあります。</li>
              <li>使用しない時は排水金具の排水栓をは開けておいてください。誤って水栓から吐水した場合、水が溢れ家財に損害を与える恐れがあります。</li>
              <li>排水金具取付け後は水を流し、必ず漏れが無いか確認してください。</li>
              <li>排水金具のボウル内及びナット部分にシリコーン系コーキング剤で防水処理を施してください。<br>
                <small>※排水金具の下部パッキンの内径当り面は構造上ナット接合部の為ねじ形状となる為、コーキング処理が無いと排水時に水が漏れる可能性があります。</small>
              </li>
            </ul>
          </section>
        </div> -->

      </div>"
u,公開する,,,c037-00744005,洗面キャビネット C037,"<section class=""item_setsumei-box"">
    洗面空間で存在感をはなつキャビネット<br>
    ボウルを引き立たせるシンプルなものから、トレンドをおさえたデザインなど
    幅広くラインナップしています。<br>
    
    サイドキャビネットやミラーを合わせることでより自由な洗面空間を演出することができます。
</section>

<!-- 商品情報 -->
<div id=""accordion"" class=""accordion-container"">
    <h3 class=""accordion-single-title open"">商品情報</h3>
    <section class=""acc"">
        <ul>
            <li>型式:C037<br></li>
            <li>サイズ(mm):幅800×高さ750×奥行460</li>
            <li>主材料:木製</li>
        </ul>
    </section>

    <!--図面DL-->
    <h3 class=""accordion-single-title"">図面ダウンロード</h3>
    <div class=""accordion-content-box itemDetailMain"">
        <ul>
            <li> <a href=""<#サイトURL>img/zumen/pdf/C037_pdf.pdf"" download>　<img src="" <#サイトURL>img/common/ican_pdf.png""></a> </li>
            <li> <a href=""<#サイトURL>img/zumen/dwg/C037_dwg.zip"" download>　<img src="" <#サイトURL>img/common/ican_dwg.png""></a> </li>
            <li> <a href=""<#サイトURL>img/zumen/dxf/C037_dxf.zip"" download>　<img src="" <#サイトURL>img/common/ican_dxf.png""></a> </li> 
            </ul>
    </div>

    <!-- 納期目安 アコーディオン-->
    <h3 class=""accordion-single-title"">納期目安</h3>
    <div class=""accordion-content-box"">
        <section>
            <ul>
                <li>1週間程度</li>
            </ul>
        </section>
    </div>

    <!--購入前確認 -->

    <h3 class=""accordion-single-title"">ご購入前にご確認ください。</h3>
    <div class=""accordion-content-box"">
        <section>
            <ul>
                <li>キャビネットは製造工程において若干の収縮や反りが生じます。</li>
                <li>洗面ボウルは製造工程で寸法誤差が生じるため、天板の穴あけ作業の際は、現物にて取合いの詳細をご確認ください</li>
                <li>設置のご依頼につきましては、お近くの工務店様等にご相談ください。</li>
            </ul>
        </section>
    </div>

        <!-- 設置方法について アコーディオン
        <h3 class=""accordion-single-title"">洗面ボウルの設置方法について</h3>
        <div class=""accordion-content-box"">
          <section>
            <ul>
              <li>天板に45mm程度の穴を開けていただき、天板を挟んでナットを締め、固定してください。</li>
              <li>天板とボウルの固定には接着面にシリコン等接着剤で固定してください。</li>
              <li>※天板の厚みは20?50cm程度まで対応しております。それ以上の厚みがある天板に取り付ける場合は、お問い合わせください。</li>
            </ul>
          </section>
        </div>  -->

        <!-- ご使用に関するご注意とお願い アコーディオン
        <h3 class=""accordion-single-title"">ご使用に関するご注意とお願い</h3>
        <div class=""accordion-content-box"">
          <section>
            <ul>
              <li>割れ、欠け等の破損が発生しやすいので、運搬や施工時は取り扱いにご注意位ください。</li>
              <li>洗面ボウルを設置する際は、必ず天板との間にコーキング用のシール処理を施してください。</li>
              <li>専用の排水金具をご使用ください。排水穴に合わない排水金具を使用すると、漏水などが起こる恐れがあります。</li>
              <li>使用しない時は排水金具の排水栓をは開けておいてください。誤って水栓から吐水した場合、水が溢れ家財に損害を与える恐れがあります。</li>
              <li>排水金具取付け後は水を流し、必ず漏れが無いか確認してください。</li>
              <li>排水金具のボウル内及びナット部分にシリコーン系コーキング剤で防水処理を施してください。<br>
                <small>※排水金具の下部パッキンの内径当り面は構造上ナット接合部の為ねじ形状となる為、コーキング処理が無いと排水時に水が漏れる可能性があります。</small>
              </li>
            </ul>
          </section>
        </div> -->

      </div>"
u,公開する,,,b010-00695172,洗面ボウル ホワイト-10 B010,"<section class=""item_setsumei-box"">
    どんなテイストにも合わせやすく、あらゆる場所やシーンと相性抜群です。<br>
    フォルムに個性のあるものを選ぶと、シンプルながら空間にアクセントが生まれます。
</section>

<!-- 商品情報 -->
<div id=""accordion"" class=""accordion-container"">
    <h3 class=""accordion-single-title open"">商品情報</h3>
    <section class=""acc"">
        <ul>
            <li>型式:B010</li>
            <li>サイズ(mm):幅500×奥行370×高さ135</li>
            <li>重量:10kg</li>
            <li>素材:陶磁器</li>
            <li>オーバーフロー:なし</li>
            <li>水栓取付穴:なし</li>
            <li>設置方法:置き型</li>
        </ul>
    </section>

    <!-- 図面DL -->
    <h3 class=""accordion-single-title"">図面ダウンロード</h3>
    <div class=""accordion-content-box itemDetailMain"">
        <ul>
            <li> <a href=""<#サイトURL>img/zumen/pdf/B010_pdf.pdf"" download> <img src="" <#サイトURL>img/common/ican_pdf.png""></a>  </li> 
            <li> <a href=""<#サイトURL>img/zumen/dwg/B010_dwg.zip"" download> <img src="" <#サイトURL>img/common/ican_dwg.png""></a> </li>
            <li> <a href=""<#サイトURL>img/zumen/dxf/B010_dxf.zip"" download> <img src="" <#サイトURL>img/common/ican_dxf.png""></a>  </li> 
        </ul>
    </div>

    <!-- 納期目安 アコーディオン-->
    <h3 class=""accordion-single-title"">納期目安</h3>
    <div class=""accordion-content-box"">
        <section>
            <ul>
                <li>1週間程度</li>
            </ul>
        </section>
    </div>

    <!--購入前確認 -->

    <h3 class=""accordion-single-title"">ご購入前にご確認ください。</h3>
    <div class=""accordion-content-box"">
        <section>
            <ul>
                <li>mizunohanaの洗面ボウルはの排水穴は海外規格の45mmとなっております。</li>
                <li>mizunohanaの排水金具・排水トラップをご利用を推奨しております。</li>
                <li>排水穴に合わない排水金具を使用すると、漏水などが起こる恐れがあります。</li>
                <li>設置のご依頼につきましては、お近くの工務店様等にご相談ください。</li>
            </ul>
        </section>
    </div>


    <!-- 設置方法について アコーディオン-->
    <h3 class=""accordion-single-title"">洗面ボウルの設置方法について</h3>
    <div class=""accordion-content-box"">
        <section>
            <ul>
                <li>天板に45mm程度の穴を開けていただき、天板を挟んでナットを締め、固定してください。</li>
                <li>天板とボウルの固定には接着面にシリコン等接着剤で固定してください。</li>
                <li>※天板の厚みは20?50cm程度まで対応しております。それ以上の厚みがある天板に取り付ける場合は、お問い合わせください。</li>
            </ul>
        </section>
    </div>

    <!--ご使用に関するご注意とお願い　アコーディオン-->
    <h3 class=""accordion-single-title"">ご使用に関するご注意とお願い</h3>
    <div class=""accordion-content-box"">
        <section>
            <ul>
                <li>割れ、欠け等の破損が発生しやすいので、運搬や施工時は取り扱いにご注意位ください。</li>
                <li>洗面ボウルを設置する際は、必ず天板との間にコーキング用のシール処理を施してください。</li>
                <li>専用の排水金具をご使用ください。排水穴に合わない排水金具を使用すると、漏水などが起こる恐れがあります。</li>
                <li>使用しない時は排水金具の排水栓をは開けておいてください。誤って水栓から吐水した場合、水が溢れ家財に損害を与える恐れがあります。</li>
                <li>排水金具取付け後は水を流し、必ず漏れが無いか確認してください。</li>
                <li>排水金具のボウル内及びナット部分にシリコーン系コーキング剤で防水処理を施してください。<br>
                    <small>※排水金具の下部パッキンの内径当り面は構造上ナット接合部の為ねじ形状となる為、コーキング処理が無いと排水時に水が漏れる可能性があります。</small>
                </li>
            </ul>
        </section>
    </div>
</div>
"
